id_str,created_at,from_user,text,CLEAN,Hashtags,TARGET
519041263530943000,Mon Oct 06 08:27:35 +0000 2014,anachasse,RT @Cleliadh: Deux années d'expérimentations avec des lycéens sur twitter ; des parcours-tweets au musée #RencNum,RT @Cleliadh  Deux années d expérimentations avec des lycéens sur twitter   des parcours tweets au musée #RencNum, #RencNum, @Cleliadh 
519041241221460000,Mon Oct 06 08:27:29 +0000 2014,Cleliadh,Bientôt disponible : l'application d'aide a la visite du @centrepompidou &gt; une visite guidée et une visite libre #RencNum,Bientôt disponible   l application d aide a la visite du @centrepompidou &gt  une visite guidée et une visite libre #RencNum, #RencNum, @centrepompidou 
519041223693464000,Mon Oct 06 08:27:25 +0000 2014,ClaireChickly,Au @centrepompidou les RS permettent + de recueillir de l'info que d'en donner. C'est une forme d'etude de publics #RencNum,Au @centrepompidou les RS permettent   de recueillir de l info que d en donner  C est une forme d etude de publics #RencNum, #RencNum, @centrepompidou 
519041129170608000,Mon Oct 06 08:27:03 +0000 2014,Chabadie,"Projet d'un nouvel outil de médiation numérique, créé pour que le visiteur construise sa propre expérience de visite #RencNum",Projet d un nouvel outil de médiation numérique  créé pour que le visiteur construise sa propre expérience de visite #RencNum, #RencNum, 
519041117254599000,Mon Oct 06 08:27:00 +0000 2014,anachasse,RT @AMCSTI: #RencNum L'offre éducative du @centrepompidou investira le portail Eduthéque : ressources pédagogiques http://t.co/sc78aaQUA6,RT @AMCSTI  #RencNum L offre éducative du @centrepompidou investira le portail Eduthéque   ressources pédagogiques http   t co sc78aaQUA6, #RencNum , @AMCSTI @centrepompidou 
519041101781803000,Mon Oct 06 08:26:56 +0000 2014,Cleliadh,Margot Boyer présente le projet d'application d'aide a la visite : le visiteur créée sa propre expérience de visite #RencNum,Margot Boyer présente le projet d application d aide a la visite   le visiteur créée sa propre expérience de visite #RencNum, #RencNum, 
519041095460995000,Mon Oct 06 08:26:55 +0000 2014,sebdaniel,"#RencNum Margot Boyer (chargée de projet de médiation num) ""Nous travaillons sur un projet d'application smartphone d'aide à la visite""",#RencNum Margot Boyer  chargée de projet de médiation num   Nous travaillons sur un projet d application smartphone d aide à la visite ,#RencNum , 
519041066184765000,Mon Oct 06 08:26:48 +0000 2014,anachasse,RT @sebdaniel: #RencNum Cette 1re journée commence par la présentation de la politique numérique du @centrepompidou http://t.co/wwqXFPaBxp,RT @sebdaniel  #RencNum Cette 1re journée commence par la présentation de la politique numérique du @centrepompidou http   t co wwqXFPaBxp, #RencNum , @sebdaniel @centrepompidou 
519041051076854000,Mon Oct 06 08:26:44 +0000 2014,MarchandEtoiles,RT @Cleliadh: Ouverture de données : des ressources y @centrepompidou disponibles sur http://t.co/l6y4REMlrP #RencNum,RT @Cleliadh  Ouverture de données   des ressources y @centrepompidou disponibles sur http   t co l6y4REMlrP #RencNum, #RencNum, @Cleliadh @centrepompidou 
519041033334964000,Mon Oct 06 08:26:40 +0000 2014,fabbib75,"RT @seeksanusername: Le @centrepompidou va rejoindre en novembre, l'initiative #EduThèque  par @EducationFrance #RencNum http://t.co/J4pehU…",RT @seeksanusername  Le @centrepompidou va rejoindre en novembre  l initiative #EduThèque  par @EducationFrance #RencNum http   t co J4pehU…, #EduThèque #RencNum , @seeksanusername @centrepompidou @EducationFrance 
