id_str,from_user,time,text,Target,hashtags
519533622617845760,DarioMolaro,07/10/2014 18:04:02,"https://t.co/XKjHZnQ07a
#EbolaEnFranceLe24Octobre
#RencNum
#showeb2rentree2014
#motscroisés
#LeMag", ," #EbolaEnFranceLe24Octobre
#RencNum
#showeb2rentree2014
#motscroisés
#LeMag"
519464883277291520,antoninGS,07/10/2014 13:30:54,RT @RealTiensTiens: Très fière ! Avec @antoninGS @emarais de @museecluny #RencNum #MuzeoNum merci @comcomclaire http://t.co/AayJleYgLB, @RealTiensTiens @antoninGS @emarais @museecluny @comcomclaire , #RencNum #MuzeoNum 
519464881792512000,Mr_mecenat,07/10/2014 13:30:53,RT @MuzeoNum: Posez-vos questions sur Twitter avec #RencNum #Muzeonum ; elles seront relayées auprès des intervenants., @MuzeoNum , #RencNum #Muzeonum 
519464868622389248,ValerieMarval,07/10/2014 13:30:50,RT @laurentalbaret: [#musées] @comcomclaire revient sur la création du site @museecluny : musee-moyenage.fr #RencNum #muzeonum #MoyenAge ht…, @laurentalbaret @comcomclaire @museecluny , #musées #RencNum #muzeonum #MoyenAge 
519464865208238082,celinesalvetat,07/10/2014 13:30:49,"Principe de brouillon à faire valider par 1 conservateur et la direction. Lourd sur le fond, mais nécessaire #RencNum #muzeonum", , #RencNum #muzeonum
519464862939086848,JulieArtGeek,07/10/2014 13:30:49,RT @MuzeoNum: Posez-vos questions sur Twitter avec #RencNum #Muzeonum ; elles seront relayées auprès des intervenants., @MuzeoNum , #RencNum #Muzeonum 
519464857708802049,chrystelou,07/10/2014 13:30:47,RT @sebdaniel: #RencNum #TMNlab Place à @gcoumes de @Snat61 à propos d'un café numérique à Bazoches-sur-Hoëne http://t.co/8S8tM5c2Zh, @sebdaniel @gcoumes @Snat61 , #RencNum #TMNlab 
519464841917263872,chrystelou,07/10/2014 13:30:44,"RT @heloiselecomte: #rencnum #tmnlab t. Leonardi : par ex se rapprocher des professionnel type @BlaBlaCar_FR ou autre, mais aussi @Minister…", @heloiselecomte @BlaBlaCar_FR @Minister…, #rencnum #tmnlab 
519464825026793472,Mr_mecenat,07/10/2014 13:30:40,RT @WeAreMuseums: Merci à tous ceux qui venus nous voir pendant ces #rencnum et surtout... Rendez-vous à Berlin ! http://t.co/fYsLq0LN93, @WeAreMuseums , #rencnum 
519464777253662720,NicoGlayzon,07/10/2014 13:30:28,"@gcoumes de la @Snat61 pour un projet de café numérique à Bazoches-sur-Hoëne. C'est là qu'auront lieu les #RencNum 2015 ?
#TMNlab",@gcoumes @Snat61 , #RencNum #TMNlab
519464729153380352,MuzeoNum,07/10/2014 13:30:17,Posez-vos questions sur Twitter avec #RencNum #Muzeonum ; elles seront relayées auprès des intervenants., , #RencNum #Muzeonum 
519464722329239552,chrystelou,07/10/2014 13:30:15,"RT @HeloBouillard: #RencNum #tmnlab Projet de plateforme de covoiturage pr les spectateurs de @operalyon, constat d'échec ou projet à pours…", @HeloBouillard @operalyon , #RencNum #tmnlab 
519464704314724352,heloiselecomte,07/10/2014 13:30:11,"#rencnum #tmnlab t. Leonardi : par ex se rapprocher des professionnel type @BlaBlaCar_FR ou autre, mais aussi @MinistereCC", @BlaBlaCar_FR @MinistereCC,#rencnum #tmnlab 
519464686551851008,louvrepourtous,07/10/2014 13:30:07,"RT @_omr: #rencnum #muzeonum les ""gentils"" contributeurs du @museecluny en image ! #médiéval http://t.co/Tp0ytyjDRo", @_omr @museecluny , #rencnum #muzeonum #médiéval 
519464668906389504,sebdaniel,07/10/2014 13:30:02,#RencNum #TMNlab Place à @gcoumes de @Snat61 à propos d'un café numérique à Bazoches-sur-Hoëne http://t.co/8S8tM5c2Zh, @gcoumes @Snat61 ,#RencNum #TMNlab 
519464656969433088,Chabadie,07/10/2014 13:30:00,Méthodologie : entre autonomie et circuits de validation #RencNum #Muzeonum, , #RencNum #Muzeonum
519464648408838144,ValerieMarval,07/10/2014 13:29:58,#RencNum #musées @museecluny a choisi d'associer des contributeurs extérieurs pour la création éditoriale du site web http://t.co/jz4TmR3VJO, @museecluny ,#RencNum #musées 
519464643933507585,chrystelou,07/10/2014 13:29:56,"RT @sebdaniel: #RencNum #TMNlab T.Leonardi ""Faut-il nous rapprocher de @BlaBlaCar_FR et @MinistereCC afin de faire décoller un projet commu…", @sebdaniel @BlaBlaCar_FR @MinistereCC , #RencNum #TMNlab 
519464636027240449,Stylegenre,07/10/2014 13:29:55,"Missions de tagging, de géolocalisation, de définitions... @museecluny #RencNum #Muzeonum http://t.co/s7NRUo4HSj", @museecluny , #RencNum #Muzeonum 
519464627420557313,celinesalvetat,07/10/2014 13:29:53,"Contribution sur tagging et sur géolocalisation, ce qui a été compliqué parfois- info à extorquer #RencNum #muzeonum", , #RencNum #muzeonum
519464617077379072,CeliaChettab,07/10/2014 13:29:50,"RT @_omr: #rencnum #muzeonum les ""gentils"" contributeurs du @museecluny en image ! #médiéval http://t.co/Tp0ytyjDRo", @_omr @museecluny , #rencnum #muzeonum #médiéval 
519464542800465920,rlg_,07/10/2014 13:29:32,"RT @antoninGS: Cet aprèm' aux #RencNum on ""voyage par rebonds au Moyen-Age"" avec @comcomclaire - @museecluny et ça c'est chouette ! http://…", @antoninGS @comcomclaire @museecluny , #RencNum 
519464471107223553,LucienCastex,07/10/2014 13:29:15,#RencNum #Muzeonum présentation de la refonte du site du @museecluny par @comcomclaire http://t.co/1uTrHyd7QX, @museecluny @comcomclaire ,#RencNum #Muzeonum 
519464454476800000,Chabadie,07/10/2014 13:29:11,RT @Loic_Laborde: #RencNum #Muzeonum et voilà les gentils contributeurs du musée de Cluny http://t.co/uDRKDPg4Ig, @Loic_Laborde , #RencNum #Muzeonum 
519464450051801089,chcourtin,07/10/2014 13:29:10,"RT @_omr: #rencnum #muzeonum les ""gentils"" contributeurs du @museecluny en image ! #médiéval http://t.co/Tp0ytyjDRo", @_omr @museecluny , #rencnum #muzeonum #médiéval 
519464446788661248,krismkrolls,07/10/2014 13:29:09,Présentation dynamique&amp;intéressante de @comcomclaire !Ici les contributeurs du site @museecluny pr #RencNum #muzeonum http://t.co/szAmlx3SYP, @comcomclaire @museecluny , #RencNum #muzeonum 
519464435027820546,HeloBouillard,07/10/2014 13:29:07,"#RencNum #tmnlab Projet de plateforme de covoiturage pr les spectateurs de @operalyon, constat d'échec ou projet à poursuivre autrement ?", @operalyon ,#RencNum #tmnlab 
519464410205925376,lecubetwit,07/10/2014 13:29:01,RT @LeCubeCNE: #rencnum Petite pub pendant la pause. Il reste des places pour l’atelier à @lecubetwit « Ma classe digitale » http://t.co/uN…, @LeCubeCNE @lecubetwit , #rencnum 
519464389163094017,Chabadie,07/10/2014 13:28:56,"Missions très variées : textes, dossiers théma, bibliographies, notices d'oeuvres... #RencNum #Muzeonum", , #RencNum #Muzeonum
519464386751373312,chrystelou,07/10/2014 13:28:55,RT @heloiselecomte: #rencnum #tmnlab t. Leonardi : constat d'échec de ce projet de covoiturage mais on peu essayer d'en faire autre chose e…, @heloiselecomte , #rencnum #tmnlab 
519464372767555584,ElbazePro,07/10/2014 13:28:52,2j #RencNum Beaubourg. RV 16/17 oct en Gironde - Assises Médiation Numérique #mednum @fleurpellerin  @axellelemaire  http://t.co/bb9cGrr7hm, @fleurpellerin @axellelemaire , #RencNum #mednum 
