id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,status_url,entities_str
519533622617845760,DarioMolaro,"https://t.co/XKjHZnQ07a
#EbolaEnFranceLe24Octobre
#RencNum
#showeb2rentree2014
#motscroisés
#LeMag",Tue Oct 07 17:04:02 +0000 2014,07/10/2014 18:04:02,,it,,,434019736,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/506628815121297408/2B7wnjqT_normal.jpeg,183,76,http://twitter.com/DarioMolaro/statuses/519533622617845760,"{""hashtags"":[{""text"":""EbolaEnFranceLe24Octobre"",""indices"":[24,49]},{""text"":""RencNum"",""indices"":[50,58]},{""text"":""showeb2rentree2014"",""indices"":[59,78]},{""text"":""motscroisés"",""indices"":[79,91]},{""text"":""LeMag"",""indices"":[92,98]}],""symbols"":[],""urls"":[{""url"":""https://t.co/XKjHZnQ07a"",""expanded_url"":""https://www.youtube.com/watch?v=OiPwSULu3DE"",""display_url"":""youtube.com/watch?v=OiPwSU…"",""indices"":[0,23]}],""user_mentions"":[]}"
519533237241405440,meribs,"#RencNum en irl et lt de très beaux sujets, bcp de passion, de partage qui donnent des idées !  Merci @MuzeoNum  @TMNlab @MinistereCC",Tue Oct 07 17:02:30 +0000 2014,07/10/2014 18:02:30,,en,,,15466045,,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>",http://pbs.twimg.com/profile_images/378800000343859739/eca3e74368a4b118140751e006194f02_normal.jpeg,1308,405,http://twitter.com/meribs/statuses/519533237241405440,"{""hashtags"":[{""text"":""RencNum"",""indices"":[0,8]}],""symbols"":[],""urls"":[],""user_mentions"":[{""screen_name"":""MuzeoNum"",""name"":""MuzeoNum"",""id"":401344066,""id_str"":""401344066"",""indices"":[102,111]},{""screen_name"":""TMNlab"",""name"":""TMNlab"",""id"":1937176236,""id_str"":""1937176236"",""indices"":[113,120]},{""screen_name"":""MinistereCC"",""name"":""Ministère CultureCom"",""id"":822984456,""id_str"":""822984456"",""indices"":[121,133]}]}"
519532638592176128,celinesalvetat,"RT @antoninGS: Protestantisme et co-voiturage; mais aussi ticket suspendu, super-accueil des publics au @MusJeanneAlbret http://t.co/bmKSOm…",Tue Oct 07 17:00:08 +0000 2014,07/10/2014 18:00:08,,fr,,,310167897,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/2878870013/9c52f1ff43d2922195304374ce8b359b_normal.jpeg,213,227,http://twitter.com/celinesalvetat/statuses/519532638592176128,"{""hashtags"":[{""text"":""RencNum"",""indices"":[139,140]}],""symbols"":[],""urls"":[{""url"":""http://t.co/bmKSOmkO8V"",""expanded_url"":""http://www.museejeannedalbret.com"",""display_url"":""museejeannedalbret.com"",""indices"":[139,140]}],""user_mentions"":[{""screen_name"":""antoninGS"",""name"":""Antonin"",""id"":62489586,""id_str"":""62489586"",""indices"":[3,13]},{""screen_name"":""MusJeanneAlbret"",""name"":""Musée Jeanne Albret"",""id"":231403006,""id_str"":""231403006"",""indices"":[104,120]}]}"
519532612457889792,MentaphoneFr,#RencNum #Bastia http://t.co/gFWcwo2iRk Question: Qu'est-ce que Mentaphone pour toi ?,Tue Oct 07 17:00:01 +0000 2014,07/10/2014 18:00:01,,fr,,,1546674667,,"<a href=""http://mentaphone.fr"" rel=""nofollow"">Mentaphone Question Du Jour Bot</a>",http://pbs.twimg.com/profile_images/378800000060019871/8affbeb8e6163337a983c35008253574_normal.png,366,455,http://twitter.com/MentaphoneFr/statuses/519532612457889792,"{""hashtags"":[{""text"":""RencNum"",""indices"":[0,8]},{""text"":""Bastia"",""indices"":[9,16]}],""symbols"":[],""urls"":[{""url"":""http://t.co/gFWcwo2iRk"",""expanded_url"":""http://mentaphone.fr"",""display_url"":""mentaphone.fr"",""indices"":[17,39]}],""user_mentions"":[]}"
519532332940673024,sebdaniel,"RT @flovielfaure: #RencNum échanges, bonnes pratiques,réseaux : encore un succès merci au @centrepompidou , @MuzeoNum , @TMNlab et à tous c…",Tue Oct 07 16:58:55 +0000 2014,07/10/2014 17:58:55,,en,,,13383202,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/742511912/pic_normal.jpg,581,191,http://twitter.com/sebdaniel/statuses/519532332940673024,"{""hashtags"":[{""text"":""RencNum"",""indices"":[18,26]}],""symbols"":[],""urls"":[],""user_mentions"":[{""screen_name"":""flovielfaure"",""name"":""Florence Vielfaure"",""id"":415714315,""id_str"":""415714315"",""indices"":[3,16]},{""screen_name"":""centrepompidou"",""name"":""CentrePompidou"",""id"":15748390,""id_str"":""15748390"",""indices"":[90,105]},{""screen_name"":""MuzeoNum"",""name"":""MuzeoNum"",""id"":401344066,""id_str"":""401344066"",""indices"":[108,117]},{""screen_name"":""TMNlab"",""name"":""TMNlab"",""id"":1937176236,""id_str"":""1937176236"",""indices"":[120,127]},{""screen_name"":""MinistereCC"",""name"":""Ministère CultureCom"",""id"":822984456,""id_str"":""822984456"",""indices"":[139,140]}]}"
519532236966600704,TMNlab,"RT @flovielfaure: #RencNum échanges, bonnes pratiques,réseaux : encore un succès merci au @centrepompidou , @MuzeoNum , @TMNlab et à tous c…",Tue Oct 07 16:58:32 +0000 2014,07/10/2014 17:58:32,,fr,,,1937176236,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/504150541203947521/qcjO5nBl_normal.jpeg,512,311,http://twitter.com/TMNlab/statuses/519532236966600704,"{""hashtags"":[{""text"":""RencNum"",""indices"":[18,26]}],""symbols"":[],""urls"":[],""user_mentions"":[{""screen_name"":""flovielfaure"",""name"":""Florence Vielfaure"",""id"":415714315,""id_str"":""415714315"",""indices"":[3,16]},{""screen_name"":""centrepompidou"",""name"":""CentrePompidou"",""id"":15748390,""id_str"":""15748390"",""indices"":[90,105]},{""screen_name"":""MuzeoNum"",""name"":""MuzeoNum"",""id"":401344066,""id_str"":""401344066"",""indices"":[108,117]},{""screen_name"":""TMNlab"",""name"":""TMNlab"",""id"":1937176236,""id_str"":""1937176236"",""indices"":[120,127]},{""screen_name"":""MinistereCC"",""name"":""Ministère CultureCom"",""id"":822984456,""id_str"":""822984456"",""indices"":[139,140]}]}"
519532201109897216,Lilmount,RT @gillesduffau: L'humour dans la communication des musées américains. http://t.co/juuBNC2aYX #mw2013 #RencNum,Tue Oct 07 16:58:23 +0000 2014,07/10/2014 17:58:23,,en,,,68658539,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1694675745/AvatarPlume_normal.jpg,1268,812,http://twitter.com/Lilmount/statuses/519532201109897216,"{""hashtags"":[{""text"":""mw2013"",""indices"":[95,102]},{""text"":""RencNum"",""indices"":[103,111]}],""symbols"":[],""urls"":[{""url"":""http://t.co/juuBNC2aYX"",""expanded_url"":""http://mw2013.museumsandtheweb.com/proposals/humour-as-an-institutional-voice/"",""display_url"":""mw2013.museumsandtheweb.com/proposals/humo…"",""indices"":[72,94]}],""user_mentions"":[{""screen_name"":""gillesduffau"",""name"":""Gilles Duffau"",""id"":17337238,""id_str"":""17337238"",""indices"":[3,16]}]}"
519532077499572224,noemiebreen,Merci à toute l'équipe @MinistereCC pour cette matinée passionnante  #RencNum,Tue Oct 07 16:57:54 +0000 2014,07/10/2014 17:57:54,,fr,,,897249594,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/378800000633525498/f447c1642db04f5b557c413a7aa9f474_normal.jpeg,36,85,http://twitter.com/noemiebreen/statuses/519532077499572224,"{""hashtags"":[{""text"":""RencNum"",""indices"":[69,77]}],""symbols"":[],""urls"":[],""user_mentions"":[{""screen_name"":""MinistereCC"",""name"":""Ministère CultureCom"",""id"":822984456,""id_str"":""822984456"",""indices"":[23,35]}]}"
519531955851755521,JulieArtGeek,RT @CultureTime_: Nuit des étudiants  @Museesdangers: on peut tout faire au musée #suspens #participatif le 27/11 #RencNum #muzeonum http:/…,Tue Oct 07 16:57:25 +0000 2014,07/10/2014 17:57:25,,fr,,,1479247394,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/378800000501019453/68b646afcfbd87a3369ac6a06e5f86a6_normal.jpeg,344,590,http://twitter.com/JulieArtGeek/statuses/519531955851755521,"{""hashtags"":[{""text"":""suspens"",""indices"":[82,90]},{""text"":""participatif"",""indices"":[91,104]},{""text"":""RencNum"",""indices"":[114,122]},{""text"":""muzeonum"",""indices"":[123,132]}],""symbols"":[],""urls"":[],""user_mentions"":[{""screen_name"":""CultureTime_"",""name"":""Culture Time"",""id"":1494992108,""id_str"":""1494992108"",""indices"":[3,16]},{""screen_name"":""Museesdangers"",""name"":""Musées d'Angers"",""id"":202712898,""id_str"":""202712898"",""indices"":[38,52]}],""media"":[{""id"":519487148571906050,""id_str"":""519487148571906048"",""indices"":[139,140],""media_url"":""http://pbs.twimg.com/media/BzWWzywCUAA73u_.jpg"",""media_url_https"":""https://pbs.twimg.com/media/BzWWzywCUAA73u_.jpg"",""url"":""http://t.co/SakeBAzPp3"",""display_url"":""pic.twitter.com/SakeBAzPp3"",""expanded_url"":""http://twitter.com/CultureTime_/status/519487149482442752/photo/1"",""type"":""photo"",""sizes"":{""small"":{""w"":340,""h"":453,""resize"":""fit""},""large"":{""w"":768,""h"":1024,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""medium"":{""w"":600,""h"":800,""resize"":""fit""}},""source_status_id"":519487149482442750,""source_status_id_str"":""519487149482442752""}]}"
519530741932490753,Museesdangers,RT @CultureTime_: Nuit des étudiants  @Museesdangers: on peut tout faire au musée #suspens #participatif le 27/11 #RencNum #muzeonum http:/…,Tue Oct 07 16:52:35 +0000 2014,07/10/2014 17:52:35,,fr,,,202712898,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/444411063975436290/Cf7nUa80_normal.jpeg,2072,313,http://twitter.com/Museesdangers/statuses/519530741932490753,"{""hashtags"":[{""text"":""suspens"",""indices"":[82,90]},{""text"":""participatif"",""indices"":[91,104]},{""text"":""RencNum"",""indices"":[114,122]},{""text"":""muzeonum"",""indices"":[123,132]}],""symbols"":[],""urls"":[],""user_mentions"":[{""screen_name"":""CultureTime_"",""name"":""Culture Time"",""id"":1494992108,""id_str"":""1494992108"",""indices"":[3,16]},{""screen_name"":""Museesdangers"",""name"":""Musées d'Angers"",""id"":202712898,""id_str"":""202712898"",""indices"":[38,52]}],""media"":[{""id"":519487148571906050,""id_str"":""519487148571906048"",""indices"":[139,140],""media_url"":""http://pbs.twimg.com/media/BzWWzywCUAA73u_.jpg"",""media_url_https"":""https://pbs.twimg.com/media/BzWWzywCUAA73u_.jpg"",""url"":""http://t.co/SakeBAzPp3"",""display_url"":""pic.twitter.com/SakeBAzPp3"",""expanded_url"":""http://twitter.com/CultureTime_/status/519487149482442752/photo/1"",""type"":""photo"",""sizes"":{""small"":{""w"":340,""h"":453,""resize"":""fit""},""large"":{""w"":768,""h"":1024,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""medium"":{""w"":600,""h"":800,""resize"":""fit""}},""source_status_id"":519487149482442750,""source_status_id_str"":""519487149482442752""}]}"
